Date,1st Stage Suction Temperature,1st Stage Suction Pressure,1st Stage Discharge Temperature,1st Stage Discharge Pressure,2nd Stage Suction Temperature,2nd Stage Suction Pressure,2nd Stage Discharge Temperature,2nd Stage Discharge Pressure,3rd Stage Suction Temperature,3rd Stage Suction Pressure,3rd Stage Discharge Temperature,3rd Stage Discharge Pressure,4th Stage Suction Temperature,4th Stage Suction Pressure,4th Stage Discharge Temperature,4th Stage Discharge Pressure,5th Stage Suction Temperature,5th Stage Suction Pressure,5th Stage Discharge Temperature,5th Stage Discharge Pressure,1st Stage Discharge Flow,3rd Stage Discharge Flow,5th Stage Discharge Flow,C3 Splitter Purge to 4th Stage Suction,C2 Splitter Purge to 5th Stage Suction,CW Supply Temperature,CW Flow to Olefins,CW Pressure,Compressor Speed,UHP Steam Flow to KT-1,UHP Steam Pressure,UHP Steam Temperature,HP Steam Extraction Flow from KT-1,HP Steam Extraction Pressure,HP Steam Extraction Temperature,E-24 PG Inlet Temperature,E-20 <U+0394>T,E-21 <U+0394>T,E-22 <U+0394>T,E-23 <U+0394>T,Total Power
6/22/2014,30.4,0.4,90.14,2,33.2,2.08,92.43,5.8,35.3,6,92.49,12.4,34.6,12.28,84.11,20.41,31.4,20.16,91.82,39.3,93.05,93.7,91,125,1412.7,29.017,20.36353,4.072679,4589.7,119.5209,105.7,456,0,44.11,344.08,34.85,56.94,57.13,57.89,49.26,14.36823
6/23/2014,30.7,0.4,90.85,2,33.5,2.07,93.11,5.8,35.5,6,93.33,12.5,35,12.27,84.67,21.6,31.8,20.52,91.96,39.68,89.59,90.1,89.7,125,1321.6,29.39169,20.30239,4.051088,4586.2,118.2,105.7,461.6,0,44.26982,341.4019,35.23,57.35,57.61,58.33,49.44,13.94641
6/24/2014,30.5118,0.3913,90.13513,1.985062,33.2732,2.052687,92.2337,5.764425,35.27695,6,92.5945,12.35532,34.66529,12.23911,84.85178,21.58521,31.62319,20.52343,92.25153,39.79416,88.8685,89.51102,86.94085,124.9986,1263.831,29.17535,20.47209,4.095754,4551.054,100.3657,105.7396,465.3494,0,45.11145,346.3112,35.1808,56.86193,56.95675,57.9292,49.67098,13.72511
6/25/2014,30.48456,0.377021,90.49407,1.989054,33.15631,2.0247,92.26168,5.705317,34.97236,6,92.85884,12.21085,34.18502,12.2263,85.13168,21.42084,31.28174,20.38085,92.61575,39.62771,88.31755,88.78008,85.36671,125.011,1283.757,29.017,20.36353,4.072679,4555.889,100.7854,105.7131,466.0093,1.4287,45.38796,349.2263,34.2935,57.33777,57.28932,58.67382,50.83818,13.74197
6/26/2014,30.94865,0.360775,89.49899,1.994287,33.54255,1.976733,91.37216,5.584133,35.22466,6,91.7031,11.94558,34.29971,11.88301,85.09005,21.08282,31.39657,20.07864,92.76514,39.55191,90.17884,88.98661,82.26716,125.0012,1431.431,29.39169,20.30239,4.051088,4496.214,106.0074,105.6844,465.1404,0,45.371,349.4997,34.3498,55.95644,56.1475,57.40338,50.74025,13.61621
6/27/2014,30.73807,0.349854,91.28972,1.978808,33.62832,1.996171,93.65466,5.739325,35.59214,6,94.5004,12.46602,35.12516,11.89169,85.43554,21.6109,31.7979,20.46369,92.84452,39.64081,91.92309,91.67558,91.82939,124.9763,1315.494,29.41225,20.28795,4.044021,4612.458,106.9716,105.6781,468.775,0,45.36903,349.0224,35.2205,57.66141,58.06252,59.37524,50.21504,14.45809
6/28/2014,30.2,0.3,90.59,2,33,1.99,93.15,5.7,35.1,6,94.18,12.5,34.7,12,84.71,21.6,31.4,20.48,92.04,39.64,91.77,91.1,92.7,125,1225.4,29.017,20.36353,4.072679,4609.2,NA,105.7,467.3,NA,45.57,348.14,34.87,57.59,58.05,59.48,49.84,14.41264
6/29/2014,31,0.3,91.95,2,33.9,1.99,94.51,5.7,35.9,6,95.58,12.5,35.6,12.23,86.63,21.7,32.4,20.58,93.79,39.87,92.83,91.6,92.1,125,1279.6,29.39169,20.30239,4.051088,4642.1,NA,105.7,467,NA,45.89,348.69,36,58.05,58.61,59.98,50.63,14.62496
6/30/2014,30.79085,0.368658,92.30455,1.985242,33.75108,2.035721,94.4288,5.848604,35.85888,6,95.62377,12.69822,35.68135,12.1855,86.62917,21.93403,32.3748,20.75169,93.52388,39.78362,90.28258,92.17982,93.6023,184.5453,1237.152,29.48032,19.99015,4.073442,4644.863,122.2397,105.6799,466.3782,0,45.91412,348.75,35.8987,58.55346,58.56992,59.94242,50.73047,14.55987
7/1/2014,30.72255,0.392108,91.82092,1.982375,33.77879,2.080321,94.00707,5.932029,35.84439,6,95.1319,12.89779,35.75075,12.26799,86.23462,22.18375,32.55113,20.96992,93.14171,39.95039,92.21076,94.41601,95.85673,199.9781,1113.875,29.42215,19.78156,4.069971,4627.186,125.5684,105.8711,464.3628,55.53633,45.98863,366.2865,36.121,58.04213,58.16268,59.38115,50.11362,14.73054
